year,partner,commodity,trade_value,net_weight
2024,World,Rice,11647536383,18042917409
2024,Afghanistan,Rice,403578.56,440000
2024,Albania,Rice,207973.64,356000
2024,Algeria,Rice,129525749.2,181797900
2024,Angola,Rice,118559433.6,244777970
2024,Azerbaijan,Rice,9373387.31,8418002
2024,Argentina,Rice,232225.19,189000
2024,Australia,Rice,85691027.53,73773065
2024,Austria,Rice,259888.56,215002
2024,Bahamas,Rice,61958.73,50933
2024,Bahrain,Rice,59771219.34,66022035
2024,Bangladesh,Rice,84552279.76,177533978
2024,Armenia,Rice,740773.5,831210
2024,Barbados,Rice,14762.18,26010
2024,Belgium,Rice,11488536.71,10116270
2024,Bhutan,Rice,22372610.47,31512475
2024,Bosnia Herzegovina,Rice,168887.34,151420
2024,Botswana,Rice,473896.65,459532
2024,Brazil,Rice,102081.28,108420
2024,Brunei Darussalam,Rice,2172371.55,2881205
2024,Bulgaria,Rice,551222.99,948800
2024,Myanmar,Rice,1128585.93,2200000
2024,Belarus,Rice,427156.75,826000
2024,Cambodia,Rice,717148.05,641063
2024,Cameroon,Rice,144021849.7,329234403
2024,Canada,Rice,106072694,94300170
2024,Cayman Isds,Rice,130432.28,104208
2024,Central African Rep.,Rice,0.98,1.46
2024,Sri Lanka,Rice,93753646.81,183439910
2024,Chile,Rice,867962.26,1241600
2024,China,Rice,57623576.71,118556160
2024,Colombia,Rice,129918.75,125500
2024,Comoros,Rice,7878770.48,7399000
2024,Congo,Rice,17678945.12,37480668
2024,Dem. Rep. of the Congo,Rice,11343209.9,24164056
2024,Costa Rica,Rice,55604.5,70800
2024,Croatia,Rice,646499.88,1283750
2024,Cuba,Rice,64613.94,115000
2024,Cyprus,Rice,2438863.4,1967570
2024,Czechia,Rice,12440.6,10000
2024,Benin,Rice,853348399.9,1868994010
2024,Denmark,Rice,1627443.21,1346196
2024,Dominican Rep.,Rice,284433.99,502500
2024,El Salvador,Rice,99621.7,232516
2024,Equatorial Guinea,Rice,5522849.32,10848640
2024,Ethiopia,Rice,3798807.22,5713120
2024,Eritrea,Rice,556638.85,1194000
2024,Estonia,Rice,199528.3,163320
2024,Fiji,Rice,1785086.31,2023860
2024,Finland,Rice,655764.45,570216
2024,France,Rice,22082131.05,18446933
2024,Djibouti,Rice,104307813.9,215093090
2024,Gabon,Rice,1100292.52,2233969
2024,Georgia,Rice,5770762.44,7386870
2024,Gambia,Rice,28597247.05,68067630
2024,Germany,Rice,24621200.23,19993356
2024,Ghana,Rice,55954792.52,122307549
2024,Greece,Rice,3084592.35,3045030
2024,Grenada,Rice,24131.74,20000
2024,Guatemala,Rice,341231.48,606546
2024,Guinea,Rice,477426492.6,1022179350
2024,Guyana,Rice,101309.34,69994
2024,Haiti,Rice,6653031.78,13008790
2024,China Hong Kong SAR,Rice,1732381.54,1410171
2024,Hungary,Rice,72423.05,60300
2024,Indonesia,Rice,120230663,279701753
2024,Iran,Rice,698288923.9,745253800
2024,Iraq,Rice,929063149,945965110
2024,Ireland,Rice,4265909.13,3970846
2024,Israel,Rice,88066687.85,85021280
2024,Italy,Rice,33576343.35,30699900
2024,Côte d'Ivoire,Rice,456557862.2,985796830
2024,Jamaica,Rice,2154872.7,1720940
2024,Japan,Rice,5740389.97,4106082
2024,Kazakhstan,Rice,725481.68,751368
2024,Jordan,Rice,112667731.3,118597038
2024,Kenya,Rice,182115143.3,336237083
2024,Rep. of Korea,Rice,1058221.63,1030530
2024,Kuwait,Rice,208588807,210853780
2024,Kyrgyzstan,Rice,328418.88,366136
2024,Lebanon,Rice,19274119.04,19504198
2024,Lesotho,Rice,518895.73,1000000
2024,Latvia,Rice,147902.85,221660
2024,Liberia,Rice,143817636.9,296276260
2024,Libya,Rice,22490981.12,29612580
2024,Lithuania,Rice,1614453.86,3033430
2024,China Macao SAR,Rice,58432.84,49038
2024,Madagascar,Rice,14008477.13,31381524
2024,Malawi,Rice,586245.74,1044254
2024,Malaysia,Rice,201988106.4,368562320
2024,Maldives,Rice,22122357.25,34953295
2024,Mali,Rice,8263720.58,18875000
2024,Malta,Rice,1715471.05,1531802
2024,Mauritania,Rice,10673549.96,11024160
2024,Mauritius,Rice,41086309.6,44322021
2024,Mexico,Rice,1303006.53,1098460
2024,Other Asia nes,Rice,155651.79,112474
2024,Mongolia,Rice,146252.17,138704
2024,Morocco,Rice,21658624.83,39203030
2024,Mozambique,Rice,107893721.1,232604720
2024,Oman,Rice,197212685.3,225480346
2024,Namibia,Rice,6619689.62,13017000
2024,Nepal,Rice,165689085.1,461427680
2024,Netherlands,Rice,94589761.72,102254640
2024,Curaçao,Rice,552012.89,442777
2024,New Zealand,Rice,12269174.23,12290385
2024,Niger,Rice,22766139.23,48763425
2024,Nigeria,Rice,48768092.18,91619490
2024,Norway,Rice,2686933.05,1991115
2024,Pakistan,Rice,1584336.5,1913900
2024,Panama,Rice,215101.9,165328
2024,Papua New Guinea,Rice,188849.41,421933
2024,Peru,Rice,21298.8,13000
2024,Philippines,Rice,43208507.47,46028928
2024,Poland,Rice,2909848.05,3356360
2024,Portugal,Rice,7630716.91,7340240
2024,Guinea-Bissau,Rice,8939684.05,21650000
2024,Timor-Leste,Rice,36534938.82,77442030
2024,Qatar,Rice,165214192.7,195408878
2024,Romania,Rice,7115218.42,10831340
2024,Russian Federation,Rice,69569471.11,122474770
2024,Rwanda,Rice,759724.8,1759536
2024,Saint Kitts and Nevis,Rice,399822.64,810000
2024,Saint Vincent and the Grenadines,Rice,27987.51,81039
2024,Sao Tome and Principe,Rice,532845.44,1157000
2024,Saudi Arabia,Rice,1399830169,1405530470
2024,Senegal,Rice,247309362.4,595243360
2024,Serbia,Rice,177193.5,331880
2024,Seychelles,Rice,6948945.93,6855602
2024,Sierra Leone,Rice,167739013.7,357643620
2024,Singapore,Rice,99241572.64,162807680
2024,Viet Nam,Rice,266038597.8,612835994
2024,Slovenia,Rice,874649.03,580984
2024,Somalia,Rice,230017217,500320670
2024,South Africa,Rice,108929060.3,197886001
2024,Zimbabwe,Rice,4978656.45,9967300
2024,Spain,Rice,14969627.91,14066830
2024,South Sudan,Rice,461659.01,876500
2024,Sudan,Rice,38782725.52,78693280
2024,Suriname,Rice,38484.78,32158
2024,Sweden,Rice,11681446.09,10461252
2024,Switzerland,Rice,1166109.14,915488
2024,Syria,Rice,29970699.02,33543090
2024,Tajikistan,Rice,535733.49,677670
2024,Thailand,Rice,4607449.88,4083930
2024,Togo,Rice,411945383,888134158
2024,Trinidad and Tobago,Rice,1087501.35,1598679
2024,United Arab Emirates,Rice,487875536.1,598410839
2024,Tunisia,Rice,5600396.15,7367058
2024,Türkiye,Rice,55061848.6,69723540
2024,Turkmenistan,Rice,61795.21,125000
2024,Uganda,Rice,220420.25,131016
2024,Ukraine,Rice,3456688.3,5275920
2024,Egypt,Rice,78552041.39,92398480
2024,United Kingdom,Rice,198727086.2,188296617
2024,United Rep. of Tanzania,Rice,22190699.93,37340360
2024,USA,Rice,380498218.3,320100645
2024,Burkina Faso,Rice,38269648.86,82006445
2024,Uruguay,Rice,18215.7,7060
2024,Uzbekistan,Rice,386945.04,412838
2024,Venezuela,Rice,82663.66,64886
2024,Samoa,Rice,1259.05,800
2024,Yemen,Rice,398280024.8,435252900
2024,Zambia,Rice,237952.47,375321
2024,Areas nes,Rice,260855.5,491500
2023,World,Rice,10453280267,17864980976
2023,Afghanistan,Rice,683046.83,1427960
2023,Albania,Rice,200298.61,422000
2023,Algeria,Rice,78447213.44,128111100
2023,Angola,Rice,77326167.55,184178290
2023,Azerbaijan,Rice,7504196.27,8008079
2023,Argentina,Rice,98485.27,52000
2023,Australia,Rice,75446125.14,63143229
2023,Austria,Rice,542052.11,382350
2023,Bahrain,Rice,62164252.98,64816190
2023,Bangladesh,Rice,83177898.56,215124400
2023,Armenia,Rice,508154.98,456130
2023,Barbados,Rice,12544.65,27000
2023,Belgium,Rice,10773926.73,8184680
2023,Bhutan,Rice,20946826.65,42587760
2023,Bosnia Herzegovina,Rice,75820.08,61000
2023,Botswana,Rice,294263.98,293630
2023,Brazil,Rice,113028.1,182914
2023,Brunei Darussalam,Rice,1942866.09,2508741
2023,Bulgaria,Rice,1035349.88,2216940
2023,Burundi,Rice,19825.53,53000
